,Tweets,len,ID,Date,Source,Likes,RTs
152,RT @votevets: More people have been killed at schools this year than have been killed while serving in the military - including combat zone…,140,997552462788812801,2018-05-18 19:00:15,Twitter for iPhone,0,787
153,RT @4TaxFairness: Here are all of the #GOP U.S. Representatives who voted to cut $20 BILLION from #SNAP benefits. Their vote could have tak…,140,997550705530503169,2018-05-18 18:53:16,Twitter Web Client,0,32
154,These kickass Congressional candidates are inspiring &amp; are on their way to victory @vgescobar @hiral4congress… https://t.co/GFBwQxdOER,138,997548193821884418,2018-05-18 18:43:17,Twitter for iPhone,10,3
155,.@RepTerriSewell firing up the crowd to make sure that #WomenWillVote2018 so we can restore the #VRA https://t.co/RI3cwGHVQp,124,997535063616245762,2018-05-18 17:51:07,Twitter for iPhone,0,0
156,RT @annaperng: @TheDemocrats Best Practices Institute brought @letamericavote @JasonKander to talk about millennial engagement. Before pane…,140,997265171402969088,2018-05-17 23:58:39,Twitter for iPhone,0,11
157,"RT @Sifill_LDF: “These aren’t people. They’re animals.” - the President of the United States on undocumented immigrants, 2018 https://t.co/…",140,997152201008123905,2018-05-17 16:29:45,Twitter for iPhone,0,3384
158,@civilrightsorg thank you for honoring the amazing and empowering leadership of @TaranaBurke of the #metoo survivor… https://t.co/3530GyoikV,140,996918713432592384,2018-05-17 01:01:57,Twitter for iPhone,0,0
159,@civilrightsorg honoring the amazing leadership of  @CecileRichards and the coalition she has built &amp; expanded to e… https://t.co/UDFOYwk8Ea,144,996918184832880642,2018-05-17 00:59:51,Twitter for iPhone,0,0
160,"RT @FIPVOTENOLA: HB 265 PASSED with 24 yeas 13 neas!! This is a monumental moment!! Thanks to everyone who made calls and wrote emails, thi…",140,996898438146088960,2018-05-16 23:41:23,Twitter Lite,0,41
161,Powerful stories as Dreamers are honored for their fight that has inspired us all! #HereToStay @civilrightsorg… https://t.co/1IKiaAwYB4,135,996894386632970241,2018-05-16 23:25:17,Twitter for iPhone,23,10
162,RT @Sifill_LDF: The amazing CEO of @civilrightsorg @vanitaguptaCR  brings fiery opening remarks at the 42nd Hubert Humphrey Civil &amp; Human R…,144,996889421449396224,2018-05-16 23:05:34,Twitter for iPhone,0,19
163,RT @AmericasVoice: Primary Voters Reject Pro-Trump Pennsylvania Democrat With A Track Record of Scapegoating Immigrants https://t.co/WyDXJB…,140,996802669279891461,2018-05-16 17:20:50,Twitter for iPhone,0,3
164,Celebrating #AAPIHeritageMonth with @CAPAC champions https://t.co/EE409Wzibk,76,996792621006811137,2018-05-16 16:40:55,Twitter for iPhone,0,0
165,"RT @TUSK81: Helen Tai, daughter of Chinese immigrants, flips Pennsylvania seat from red to blue—“the first time a Democrat’s been elected i…",140,996727919534886912,2018-05-16 12:23:48,Twitter for iPhone,0,180
166,RT @JasonKander: The next Secretary of State of Nevada has an inspiring story. Meet @NelsonAraujoNV https://t.co/KZejFLc02j,123,996503411750207491,2018-05-15 21:31:42,Twitter Web Client,0,29
