,created_at,favorite_count,favorited,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,possibly_sensitive,retweet_count,retweeted,source,text,truncated,name,screen_name,location,description
4198,2018-06-25 00:12:29,0,False,1011039388938186754,915639510,realDonaldTrump,1.0109789753913221e+18,1.0109789753913221e+18,25073877.0,25073877.0,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@realDonaldTrump Womp womp, as your minions like to say. 

#LiarInChief #PutinsPuppet #TraitorTrump #PeeTape… https://t.co/XazBd7Gpez",True,Jo Ann Liguori,JoAnnLiguori,"Brooklyn, NY","Devoted sister, aunt, cousin & friend. Addicted to humor, the beach, chocolate & wine. Committed to liberty & justice for ALL."
4199,2018-06-25 00:11:54,0,False,1011039241458061313,17251100,,,,,,True,en,0.0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Heartbreaking and infuriating thread. #FamiliesBelongTogether https://t.co/65qINBRM3Z,False,Pam Tobler,pamtobler,,artist . film buff . comedy enthusiast
4200,2018-06-25 00:11:44,32,False,1011039201368969216,3637912419,,,,,,False,en,0.0,32,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","“What is done cannot be undone,” wrote Anne Frank in one of the most influential of all Holocaust books, “but one c… https://t.co/HABE9722DB",True,Shazz 🌊 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇸,gordy_shanks,"Wales, United Kingdom",Voted Honorary American by Quinby. #TheResistance #RESIST #FBR  The difference between stupidity and genius is that genius has its limits. A.Einstein
4201,2018-06-25 00:11:37,3,False,1011039172663136256,797215904085975040,1IronMan2018,1.0110279854477435e+18,1.0110279854477435e+18,8.101235699256197e+17,8.101235699256197e+17,False,und,0.0,1,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@1IronMan2018 #MakeYourVoiceHeard 
#BoycottSinclair 
#Dateline 
#FamiliesBelongTogether https://t.co/XYKQPCS9zu",False,Vision🔸Resists,ItHasBegun2016,,"We have 2 act now & not 1 of us can do it w/out the others. I am on the side of life, the GOP isn't. #PostcardsToVoters #BlueWave #FBR #GunSense #HeroesResist"
4202,2018-06-25 00:11:36,0,False,1011039166304538625,938533034659168256,,,,,,False,en,0.0,0,False,"<a href=""http://resist.bot"" rel=""nofollow"">RB Open Letters</a>","Here’s an open letter from Roberta in Nashville, TN to @RepJimCooper #FamiliesBelongTogether https://t.co/pQ1xEFxzZ2",False,Resistbot Open Letters,openletterbot,United States,Real letters delivered to Congress and state governors. Send “resist” as a direct message to @resistbot to write your own. 👊🤖
4203,2018-06-25 00:10:54,0,False,1011038991045578753,86088576,,,,,,False,und,0.0,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#WhereAreTheGirls #WhereAreTheChidren #familiesbelongtogether https://t.co/eoly9r48QY,False,4Dogs + 1Chihuahua,Schnauzer_tude,"Astoria, NY","The truth is painful yet liberating. Music feeds me, anger calms me & hard work makes me stronger. Proud human to 20 🐾"
4204,2018-06-25 00:10:51,2,False,1011038979087532032,980457385960640512,,,,,,True,en,0.0,1,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#Kansas #Kentucky #Louisiana #Maine #Michigan #Missouri #Mississippi Where is your voice?  Where is your governor?… https://t.co/LcwWbDp3n3,True,🌊🌊Blue Denym🌊🌊,BlueDenym555,United States,Trump made me an activist! #Resist 💙#TurnNCBlue 🌊#BlueWaveIsComing 💙#VoteBlue 🌊#VoteThemOut2018 💙Block MAGAs cause I can get KoolAid rhetoric from family on FB.
4205,2018-06-25 00:10:45,0,False,1011038954370600962,429451421,,,,,,False,en,,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",.@MeghanMcCain you &amp; those that work 4 @POTUS should not be attacked. You are for freedom of speech &amp; business.… https://t.co/ODqeCSuOUh,True,Nadir Carlson,NadirCarlsonWI,,News Lover! Chocolate Lover! Always trying to stay positive!
4206,2018-06-25 00:10:18,1,False,1011038840629448710,796362384084439040,,,,,,False,und,0.0,1,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#FamiliesBelongTogether 
#UniteTheFamilies https://t.co/SItBZjiYFc",False,Tina in temporarily red MI,arendell_c,"Michigan, USA","Angry since 11/9/16.
Tree-hugging vegan. I grow organic native plants for pollinators.
I block MAGAts, and I curse."
4207,2018-06-25 00:09:49,13,False,1011038717857890305,486277358,kdsaa4,1.0110347163283907e+18,1.0110347163283907e+18,153460300.0,153460300.0,False,en,0.0,9,False,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@kdsaa4 @Lady_Star_Gem @realDonaldTrump #ThisIsTrumpsAmerica 
Unfortunately, this situation will impact, not only t… https://t.co/RUaYJ1rxE2",True,ladyhawker,ladyhawkerfinds,Small Blue Dot,Writer of words 💬 Member of SETI 👽 Listening for that {{{ping}}} #VoteBlue #BlueTsunami2018 #IndigenousOrImmigrant #GunControlNow #Resist #BlueInitiative
4208,2018-06-25 00:09:39,1,False,1011038678209187840,187354656,,,,,,True,und,0.0,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#FamiliesBelongTogether 
#ResignKirstjenResign https://t.co/iCnLEdBm12",False,Wanda Brendle-Moss,WandaBrendleMos,"Winston-Salem, NC","Retired RN @ADAPadvocacy Board Directors @ncnaacp Marshal @USPWN; Blogger @TheWellProject A Girl Like Me, @HealthHIV Pozitively Healthy Nat'l Steering Comm"
